book title,book price,rating,author,year of publication,genre,first_name,last_name,count genre,id
how to catch a dinosaur,4.66,4.8,adam wallace,2019,"picture books, dinosaurs, childrens, fiction, storytime, fantasy, animals",adam,wallace,8,1492680524
hidden potential: the science of achieving greater things,21.0,4.4,adam m. grant,2023,"nonfiction, self help, psychology, business, leadership, personal development",adam,m. grant,8,0593653149
resurrection walk (lincoln lawyer),20.98,5.0,michael connelly,2023,"fiction, mystery, thriller, suspense, crime, legal thriller",michael,connelly,7,0316563765
the christmas fix,9.49,4.6,lucy score,2017,"christmas, romance, holiday, contemporary romance, contemporary fiction, humor",lucy,score,8,1728295149
flash cards: sight words,2.88,4.8, scholastic,2018,"educational material, childrens",,scholastic,3,1338233580
i love you like no otter: a funny and sweet animal board book for babies and toddlers this christmas (punderland),5.37,4.9,rose rossner,2020,"picture books, animals, childrens, fiction, love, family, humor",rose,rossner,8,1728213746
chicka chicka boom boom (board book),4.32,4.9,"bill martin jr., john archambault",1989,"fiction, alphabet",bill,"martin jr., john archambault",2,1442450703
"from crook to cook: platinum recipes from tha boss dogg's kitchen (snoop dogg cookbook, celebrity cookbook with soul food rec",12.15,4.8,snoop dogg,2018,"cookbooks, cooking",snoop,dogg,2,1452179611
the shadow work journal: a guide to integrate and transcend your shadows,17.28,4.6,keila shaheen,2021,"self help, psychology",keila,shaheen,3,b09kn2qcml
"interesting facts for curious minds: 1572 random but mind-blowing facts about history, science, pop culture and everything in",12.89,4.6,jordan moore,2022,nonfiction,jordan,moore,1,b0b6xft4rh
there was an old lady who swallowed a turkey!,6.28,4.8,lucille colandro,2016,"picture books, holiday, childrens, fiction, storytime, humor",lucille,colandro,7,0545931908
elon musk,20.99,4.7,walter isaacson,2023,"biography, nonfiction, business, technology",walter,isaacson,4,1982181281
the complete cookbook for young chefs: 100+ recipes that you'll love to cook and eat,9.97,4.8,americas test kitchen kids,2018,cookbook,americas,test kitchen kids,1,1492670022
llama llama gives thanks,5.67,4.7,anna dewdney,2017,"picture books, childrens, holiday, animals, kids fiction",anna,dewdney,7,110199715x
tom lake: a reese's book club pick,15.33,4.3,ann patchett,2023,"literary, medical, family life - general, world literature - india - general",ann,patchett,12,006332752x
the covenant of water (oprah's book club),16.79,4.6,abraham verghese,2023,"fiction, mystery",abraham,verghese,2,0802162177
dirty thirty (30) (stephanie plum),20.98,4.7,janet evanovich,2021,"dark, thriller, fantasy, adult, contemporary, mystery, horror",janet,evanovich,7,1668003090
how to catch an elf,6.94,4.8,adam wallace,2016,"christmas, picture books, holiday, childrens, fantasy, humor, fiction",adam,wallace,8,1492646318
"school zone - multiplication 0-12 flash cards - ages 8+, 3rd grade, 4th grade, elementary math, multiplication facts, common ",2.78,4.7,school zone publishing,1994,educational material,school,zone publishing,2,0938256939
"hello, baby animals: a durable high-contrast black-and-white board book for newborns and babies (high-contrast books)",4.73,4.9,"duopress labs, julissa mora",2016,"childrens, picture books, animals",duopress,"labs, julissa mora",4,1938093682
haunting adeline (cat and mouse duet),13.36,4.4,h.d. carlton,2021,"dark, thriller, fantasy, adult, contemporary, mystery, horror",h.d.,carlton,7,b09cggv8dx
verity,10.98,4.6,colleen hoover,2018,"thriller, romance, mystery, fiction",colleen,hoover,4,1538724731
"a court of mist and fury (a court of thorns and roses, 2)",12.79,4.8,sarah j. maas,2016,"fantasy, romance, young adult, new adult, fiction",sarah,j. maas,7,1635575583
the creative act: a way of being,17.49,4.7,rick rubin,2023,"nonfiction, art, music, philosophy, self help, writing, design",rick,rubin,8,0593652886
my first library : boxset of 10 board books for kids (my first book of),16.74,4.6,not available,2018,childrens,not,available,1,9387779262
"forever strong: a new, science-based strategy for aging well",20.63,4.6,gabrielle lyon,2023,"health, nonfiction, nutrition, fitness, self help, science",gabrielle,lyon,7,1668007878
where's spot?,4.97,4.9,eric hill,1980,childrens,eric,hill,1,0399240462
demon copperhead: a pulitzer prize winner,19.5,4.6,barbara kingsolver,2022,fiction,barbara,kingsolver,1,0063251922
israel: a simple guide to the most misunderstood country on earth,15.59,4.7,noa tishby,2021,"nonfiction, history, politics, israel, jewish, judaism, religion",noa,tishby,7,1982144947
remarkably bright creatures: a read with jenna pick,15.99,4.6,shelby van pelt,2024,fiction,shelby,van pelt,1,0063204150
harry potter paperback box set (books 1-7),45.22,4.9,j.k. rowling,2014,"childrens, young adult, fantasy, science fiction &amp; horror",j.k.,rowling,8,0545162076
just because,12.69,4.6,matthew mcconaughey,2023,"picture books, childrens, fiction",matthew,mcconaughey,4,0593622030
if animals kissed good night,4.19,4.8,ann whitford paul,2008,"picture books, childrens, animals, fiction, family, storytime, poetry",ann,whitford paul,8,0374300216
things we never got over (knockemout),8.93,4.5,lucy score,2022,"romance, contemporary, contemporary romance, fiction, adult, chick lit",lucy,score,8,194563183x
five silly turkeys,5.99,4.8,salina yoon,2005,"picture books, childrens, holiday, storytime, counting, animals, number",salina,yoon,8,0843114169
paint by sticker kids: christmas: create 10 pictures one sticker at a time! includes glitter stickers,6.06,4.8,workman publishing,2019,childrens literature,workman,publishing,2,152350675x
love comes first,17.99,,emily giffin,2016,"fiction, romance, contemporary, audiobook, adult, adult fiction",emily,giffin,7,0316525022
the ballad of songbirds and snakes (a hunger games novel) (the hunger games),15.79,4.6,suzanne collins,2020,"adventure, war, science fiction, romance, action, thriller",suzanne,collins,7,1338635174
"a court of wings and ruin (a court of thorns and roses, 3)",11.56,4.8,sarah j. maas,2017,fantasy,sarah,j. maas,1,1635575605
the shadow work journal 2nd edition: a guide to integrate and transcend your shadows: the essential guidebook for shadow work,18.46,4.7,keila shaheen,2023,self help,keila,shaheen,2,b0bw31x61x
"harry potter and the prisoner of azkaban (harry potter, book 3) (minalima edition)",25.97,4.9,j.k. rowling,1999,fantasy,j.k.,rowling,1,1338815288
"moo, baa, la la la!",3.69,4.9,sandra boynton,1982,"childrens literature, picture book",sandra,boynton,4,067144901x
the coworker,9.44,4.2,freida mcfadden,2023,"thriller, mystery",freida,mcfadden,2,172829620x
rich dad poor dad: what the rich teach their kids about money that the poor and middle class do not!,6.31,4.7,robert kiyosaki,1997,personal finance,robert,kiyosaki,2,1612681131
percy jackson and the olympians: the chalice of the gods (percy jackson & the olympians),15.63,4.7,rick riordan,2023,"fantasy, adventure, mythology",rick,riordan,3,1368098177
paw patrol phonics: 12 books in 1,8.25,4.6,jennifer liberts,2015,childrens,jennifer,liberts,1,0553508784
first little readers parent pack: guided reading level a: 25 irresistible books that are just the right level for beginning r,11.4,4.7,deborah schecter,2010,nonfiction,deborah,schecter,1,0545231493
hatchet,5.14,4.7,gary paulsen,1987," young adult novel, adventure novel, survival story",gary,paulsen,8,1416936475
"the wager: a tale of shipwreck, mutiny and murder",15.3,4.5,david grann,2023,nonfiction,david,grann,1,0385534264
"i'm dead, now what?: important information about my belongings, business affairs, and wishes",12.99,4.6,peter pauper press,2015,nonfiction,peter,pauper press,1,1441317996
the wonky donkey,5.28,4.8,craig smith,2009,"childrens, picture books",craig,smith,3,0545261244
