Rank,book title,book price,rating,author,year of publication,genre,url,first_name,last_name,count genre,link,book,dp,id,ref,slug
18,the exchange: after the firm (the firm series),18.96,4.1,john grisham,2023,"literary, thrillers - suspense",amazon.com/exchange-after-firm/dp/0385548958/ref=zg_bs_g_books_sccl_18/143-9831347-1043253?psc=1,john,grisham,4,amazon.com,exchange-after-firm,dp,0385548958,ref=zg_bs_g_books_sccl_18,143-9831347-1043253?psc=1
19,taylor swift: a little golden book biography,4.78,4.9, wendy loggia,2023,"picture books, biography",amazon.com/taylor-swift-little-golden-biography/dp/0593566718/ref=zg_bs_g_books_sccl_19/143-9831347-1043253?psc=1,,wendy loggia,3,amazon.com,taylor-swift-little-golden-biography,dp,0593566718,ref=zg_bs_g_books_sccl_19,143-9831347-1043253?psc=1
20,don't let the pigeon drive the sleigh!,11.99,4.8,mo willems,2023,"picture books, christmas, holiday, humor, childrens, fiction, animals",amazon.com/dont-let-pigeon-drive-sleigh/dp/1454952776/ref=zg_bs_g_books_sccl_20/143-9831347-1043253?psc=1,mo,willems,8,amazon.com,dont-let-pigeon-drive-sleigh,dp,1454952776,ref=zg_bs_g_books_sccl_20,143-9831347-1043253?psc=1
21,turkey trouble,8.79,4.8,wendi silvano,2009,"picture books, childrens, holiday, animals, humor, storytime, fiction",amazon.com/turkey-trouble-wendi-silvano/dp/0761455299/ref=zg_bs_g_books_sccl_21/143-9831347-1043253?psc=1,wendi,silvano,8,amazon.com,turkey-trouble-wendi-silvano,dp,0761455299,ref=zg_bs_g_books_sccl_21,143-9831347-1043253?psc=1
22,"the body keeps the score: brain, mind, and body in the healing of trauma",9.68,4.8,bessel van der kolk,2014,"nonfiction, psychology, self help, mental health, health, science",amazon.com/body-keeps-score-healing-trauma/dp/0143127748/ref=zg_bs_g_books_sccl_22/143-9831347-1043253?psc=1,bessel,van der kolk,8,amazon.com,body-keeps-score-healing-trauma,dp,0143127748,ref=zg_bs_g_books_sccl_22,143-9831347-1043253?psc=1
23,"a court of thorns and roses (a court of thorns and roses, 1)",8.89,4.6,sarah j. maas,2015,"fantasy, romance, young adult, fiction, new adult, fae",amazon.com/court-thorns-roses-sarah-maas/dp/1635575567/ref=zg_bs_g_books_sccl_23/143-9831347-1043253?psc=1,sarah,j. maas,8,amazon.com,court-thorns-roses-sarah-maas,dp,1635575567,ref=zg_bs_g_books_sccl_23,143-9831347-1043253?psc=1
24,a little life,11.83,4.5,hanya yanagihara,2015,"fiction, contemporary, lgbt, literary fiction, queer, adult, mental health",amazon.com/little-life-hanya-yanagihara/dp/0804172706/ref=zg_bs_g_books_sccl_24/143-9831347-1043253?psc=1,hanya,yanagihara,9,amazon.com,little-life-hanya-yanagihara,dp,0804172706,ref=zg_bs_g_books_sccl_24,143-9831347-1043253?psc=1
25,"house of flame and shadow (crescent city, 3)",18.48,,sarah j. maas,2023,"fantasy, dragons, young adult, fiction, high fantasy, magic, science fiction, fantasy",amazon.com/house-flame-shadow-crescent-city/dp/1635574102/ref=zg_bs_g_books_sccl_25/143-9831347-1043253?psc=1,sarah,j. maas,11,amazon.com,house-flame-shadow-crescent-city,dp,1635574102,ref=zg_bs_g_books_sccl_25,143-9831347-1043253?psc=1
26,"world of eric carle, around the farm 30-button animal sound book - great for first words - pi kids",9.43,4.8,editors of publications international,2013,"childrens, activities, crafts, games",amazon.com/world-carle-around-play-sound/dp/1450805752/ref=zg_bs_g_books_sccl_26/143-9831347-1043253?psc=1,editors,of publications international,4,amazon.com,world-carle-around-play-sound,dp,1450805752,ref=zg_bs_g_books_sccl_26,143-9831347-1043253?psc=1
27,"goodnight, goodnight construction site (board book for toddlers, children's board book)",3.78,4.9,sherri duskey rinker,2011,"picture book, cars and trucks",amazon.com/goodnight-construction-sherri-duskey-rinker/dp/1452111731/ref=zg_bs_g_books_sccl_27/143-9831347-1043253?psc=1,sherri,duskey rinker,5,amazon.com,goodnight-construction-sherri-duskey-rinker,dp,1452111731,ref=zg_bs_g_books_sccl_27,143-9831347-1043253?psc=1
28,the leaf thief: (the perfect fall book for children and toddlers),10.39,4.8,alice hemming,2021,childrens,amazon.com/leaf-thief-alice-hemming/dp/1728235200/ref=zg_bs_g_books_sccl_28/143-9831347-1043253?psc=1,alice,hemming,1,amazon.com,leaf-thief-alice-hemming,dp,1728235200,ref=zg_bs_g_books_sccl_28,143-9831347-1043253?psc=1
29,murtagh: the world of eragon (the inheritance cycle),22.48,4.8,christopher paolini,2023,"fantasy, dragons, young adult, fiction, high fantasy, magic, science fiction, fantasy",amazon.com/murtagh-world-eragon-inheritance-cycle/dp/0593650867/ref=zg_bs_g_books_sccl_29/143-9831347-1043253?psc=1,christopher,paolini,11,amazon.com,murtagh-world-eragon-inheritance-cycle,dp,0593650867,ref=zg_bs_g_books_sccl_29,143-9831347-1043253?psc=1
30,"brown bear, brown bear, what do you see?",4.94,4.9,bill martin jr.,1967,"picture book, colors, wild animals",amazon.com/brown-bear-what-you-see/dp/0805047905/ref=zg_bs_g_books_sccl_30/143-9831347-1043253?psc=1,bill,martin jr.,5,amazon.com,brown-bear-what-you-see,dp,0805047905,ref=zg_bs_g_books_sccl_30,143-9831347-1043253?psc=1
