Rank,book title,book price,rating,author,year of publication,genre,url,first_name,last_name,count genre,link,book,dp,id,ref,slug
65,the covenant of water (oprah's book club),16.79,4.6,abraham verghese,2023,"fiction, mystery",amazon.com/covenant-water-abraham-verghese/dp/0802162177/ref=zg_bs_g_books_sccl_15/142-7825522-0098658?psc=1,abraham,verghese,2,amazon.com,covenant-water-abraham-verghese,dp,0802162177,ref=zg_bs_g_books_sccl_15,142-7825522-0098658?psc=1
66,dirty thirty (30) (stephanie plum),20.98,4.7,janet evanovich,2021,"dark, thriller, fantasy, adult, contemporary, mystery, horror",amazon.com/dirty-thirty-30-stephanie-plum/dp/1668003090/ref=zg_bs_g_books_sccl_16/142-7825522-0098658?psc=1,janet,evanovich,7,amazon.com,dirty-thirty-30-stephanie-plum,dp,1668003090,ref=zg_bs_g_books_sccl_16,142-7825522-0098658?psc=1
67,how to catch an elf,6.94,4.8,adam wallace,2016,"christmas, picture books, holiday, childrens, fantasy, humor, fiction",amazon.com/how-catch-elf-adam-wallace/dp/1492646318/ref=zg_bs_g_books_sccl_17/142-7825522-0098658?psc=1,adam,wallace,8,amazon.com,how-catch-elf-adam-wallace,dp,1492646318,ref=zg_bs_g_books_sccl_17,142-7825522-0098658?psc=1
68,"school zone - multiplication 0-12 flash cards - ages 8+, 3rd grade, 4th grade, elementary math, multiplication facts, common ",2.78,4.7,school zone publishing,1994,educational material,amazon.com/school-zone-multiplication-grades-concentration/dp/0938256939/ref=zg_bs_g_books_sccl_18/142-7825522-0098658?psc=1,school,zone publishing,2,amazon.com,school-zone-multiplication-grades-concentration,dp,0938256939,ref=zg_bs_g_books_sccl_18,142-7825522-0098658?psc=1
69,"hello, baby animals: a durable high-contrast black-and-white board book for newborns and babies (high-contrast books)",4.73,4.9,"duopress labs, julissa mora",2016,"childrens, picture books, animals",amazon.com/hello-baby-animals-high-contrast-book/dp/1938093682/ref=zg_bs_g_books_sccl_19/142-7825522-0098658?psc=1,duopress,"labs, julissa mora",4,amazon.com,hello-baby-animals-high-contrast-book,dp,1938093682,ref=zg_bs_g_books_sccl_19,142-7825522-0098658?psc=1
70,haunting adeline (cat and mouse duet),13.36,4.4,h.d. carlton,2021,"dark, thriller, fantasy, adult, contemporary, mystery, horror",amazon.com/haunting-adeline-cat-mouse-duet/dp/b09cggv8dx/ref=zg_bs_g_books_sccl_20/142-7825522-0098658?psc=1,h.d.,carlton,7,amazon.com,haunting-adeline-cat-mouse-duet,dp,b09cggv8dx,ref=zg_bs_g_books_sccl_20,142-7825522-0098658?psc=1
71,verity,10.98,4.6,colleen hoover,2018,"thriller, romance, mystery, fiction",amazon.com/verity-colleen-hoover/dp/1538724731/ref=zg_bs_g_books_sccl_21/142-7825522-0098658?psc=1,colleen,hoover,4,amazon.com,verity-colleen-hoover,dp,1538724731,ref=zg_bs_g_books_sccl_21,142-7825522-0098658?psc=1
72,"a court of mist and fury (a court of thorns and roses, 2)",12.79,4.8,sarah j. maas,2016,"fantasy, romance, young adult, new adult, fiction",amazon.com/court-mist-fury-thorns-roses/dp/1635575583/ref=zg_bs_g_books_sccl_22/142-7825522-0098658?psc=1,sarah,j. maas,7,amazon.com,court-mist-fury-thorns-roses,dp,1635575583,ref=zg_bs_g_books_sccl_22,142-7825522-0098658?psc=1
73,the creative act: a way of being,17.49,4.7,rick rubin,2023,"nonfiction, art, music, philosophy, self help, writing, design",amazon.com/creative-act-way-being/dp/0593652886/ref=zg_bs_g_books_sccl_23/142-7825522-0098658?psc=1,rick,rubin,8,amazon.com,creative-act-way-being,dp,0593652886,ref=zg_bs_g_books_sccl_23,142-7825522-0098658?psc=1
74,my first library : boxset of 10 board books for kids (my first book of),16.74,4.6,not available,2018,childrens,amazon.com/my-first-library-boxset-board/dp/9387779262/ref=zg_bs_g_books_sccl_24/142-7825522-0098658?psc=1,not,available,1,amazon.com,my-first-library-boxset-board,dp,9387779262,ref=zg_bs_g_books_sccl_24,142-7825522-0098658?psc=1
75,"forever strong: a new, science-based strategy for aging well",20.63,4.6,gabrielle lyon,2023,"health, nonfiction, nutrition, fitness, self help, science",amazon.com/forever-strong-science-based-strategy-aging/dp/1668007878/ref=zg_bs_g_books_sccl_25/142-7825522-0098658?psc=1,gabrielle,lyon,7,amazon.com,forever-strong-science-based-strategy-aging,dp,1668007878,ref=zg_bs_g_books_sccl_25,142-7825522-0098658?psc=1
76,where's spot?,4.97,4.9,eric hill,1980,childrens,amazon.com/wheres-spot-eric-hill/dp/0399240462/ref=zg_bs_g_books_sccl_26/142-7825522-0098658?psc=1,eric,hill,1,amazon.com,wheres-spot-eric-hill,dp,0399240462,ref=zg_bs_g_books_sccl_26,142-7825522-0098658?psc=1
77,demon copperhead: a pulitzer prize winner,19.5,4.6,barbara kingsolver,2022,fiction,amazon.com/demon-copperhead-novel-barbara-kingsolver/dp/0063251922/ref=zg_bs_g_books_sccl_27/142-7825522-0098658?psc=1,barbara,kingsolver,1,amazon.com,demon-copperhead-novel-barbara-kingsolver,dp,0063251922,ref=zg_bs_g_books_sccl_27,142-7825522-0098658?psc=1
78,israel: a simple guide to the most misunderstood country on earth,15.59,4.7,noa tishby,2021,"nonfiction, history, politics, israel, jewish, judaism, religion",amazon.com/israel-simple-guide-misunderstood-country/dp/1982144947/ref=zg_bs_g_books_sccl_28/142-7825522-0098658?psc=1,noa,tishby,7,amazon.com,israel-simple-guide-misunderstood-country,dp,1982144947,ref=zg_bs_g_books_sccl_28,142-7825522-0098658?psc=1
79,remarkably bright creatures: a read with jenna pick,15.99,4.6,shelby van pelt,2024,fiction,amazon.com/remarkably-bright-creatures-shelby-pelt/dp/0063204150/ref=zg_bs_g_books_sccl_29/142-7825522-0098658?psc=1,shelby,van pelt,1,amazon.com,remarkably-bright-creatures-shelby-pelt,dp,0063204150,ref=zg_bs_g_books_sccl_29,142-7825522-0098658?psc=1
80,harry potter paperback box set (books 1-7),45.22,4.9,j.k. rowling,2014,"childrens, young adult, fantasy, science fiction &amp; horror",amazon.com/harry-potter-paperback-box-books/dp/0545162076/ref=zg_bs_g_books_sccl_30/142-7825522-0098658?psc=1,j.k.,rowling,8,amazon.com,harry-potter-paperback-box-books,dp,0545162076,ref=zg_bs_g_books_sccl_30,142-7825522-0098658?psc=1
81,just because,12.69,4.6,matthew mcconaughey,2023,"picture books, childrens, fiction",amazon.com/just-because-matthew-mcconaughey/dp/0593622030/ref=zg_bs_g_books_sccl_81/142-7825522-0098658?psc=1,matthew,mcconaughey,4,amazon.com,just-because-matthew-mcconaughey,dp,0593622030,ref=zg_bs_g_books_sccl_81,142-7825522-0098658?psc=1
82,if animals kissed good night,4.19,4.8,ann whitford paul,2008,"picture books, childrens, animals, fiction, family, storytime, poetry",amazon.com/if-animals-kissed-good-night/dp/0374300216/ref=zg_bs_g_books_sccl_82/142-7825522-0098658?psc=1,ann,whitford paul,8,amazon.com,if-animals-kissed-good-night,dp,0374300216,ref=zg_bs_g_books_sccl_82,142-7825522-0098658?psc=1
83,things we never got over (knockemout),8.93,4.5,lucy score,2022,"romance, contemporary, contemporary romance, fiction, adult, chick lit",amazon.com/things-we-never-got-over/dp/194563183x/ref=zg_bs_g_books_sccl_83/142-7825522-0098658?psc=1,lucy,score,8,amazon.com,things-we-never-got-over,dp,194563183x,ref=zg_bs_g_books_sccl_83,142-7825522-0098658?psc=1
84,five silly turkeys,5.99,4.8,salina yoon,2005,"picture books, childrens, holiday, storytime, counting, animals, number",amazon.com/five-silly-turkeys-salina-yoon/dp/0843114169/ref=zg_bs_g_books_sccl_84/142-7825522-0098658?psc=1,salina,yoon,8,amazon.com,five-silly-turkeys-salina-yoon,dp,0843114169,ref=zg_bs_g_books_sccl_84,142-7825522-0098658?psc=1
85,paint by sticker kids: christmas: create 10 pictures one sticker at a time! includes glitter stickers,6.06,4.8,workman publishing,2019,childrens literature,amazon.com/paint-sticker-kids-workman-publishing/dp/152350675x/ref=zg_bs_g_books_sccl_85/142-7825522-0098658?psc=1,workman,publishing,2,amazon.com,paint-sticker-kids-workman-publishing,dp,152350675x,ref=zg_bs_g_books_sccl_85,142-7825522-0098658?psc=1
86,love comes first,17.99,,emily giffin,2016,"fiction, romance, contemporary, audiobook, adult, adult fiction",amazon.com/love-comes-first-jenna-hager/dp/0316525022/ref=zg_bs_g_books_sccl_86/142-7825522-0098658?psc=1,emily,giffin,7,amazon.com,love-comes-first-jenna-hager,dp,0316525022,ref=zg_bs_g_books_sccl_86,142-7825522-0098658?psc=1
87,the ballad of songbirds and snakes (a hunger games novel) (the hunger games),15.79,4.6,suzanne collins,2020,"adventure, war, science fiction, romance, action, thriller",amazon.com/ballad-songbirds-snakes-hunger-games/dp/1338635174/ref=zg_bs_g_books_sccl_87/142-7825522-0098658?psc=1,suzanne,collins,7,amazon.com,ballad-songbirds-snakes-hunger-games,dp,1338635174,ref=zg_bs_g_books_sccl_87,142-7825522-0098658?psc=1
88,"a court of wings and ruin (a court of thorns and roses, 3)",11.56,4.8,sarah j. maas,2017,fantasy,amazon.com/court-wings-ruin-thorns-roses/dp/1635575605/ref=zg_bs_g_books_sccl_88/142-7825522-0098658?psc=1,sarah,j. maas,1,amazon.com,court-wings-ruin-thorns-roses,dp,1635575605,ref=zg_bs_g_books_sccl_88,142-7825522-0098658?psc=1
89,the shadow work journal 2nd edition: a guide to integrate and transcend your shadows: the essential guidebook for shadow work,18.46,4.7,keila shaheen,2023,self help,amazon.com/shadow-work-journal-2nd-integrate/dp/b0bw31x61x/ref=zg_bs_g_books_sccl_89/142-7825522-0098658?psc=1,keila,shaheen,2,amazon.com,shadow-work-journal-2nd-integrate,dp,b0bw31x61x,ref=zg_bs_g_books_sccl_89,142-7825522-0098658?psc=1
90,"harry potter and the prisoner of azkaban (harry potter, book 3) (minalima edition)",25.97,4.9,j.k. rowling,1999,fantasy,amazon.com/harry-potter-prisoner-azkaban-minalima/dp/1338815288/ref=zg_bs_g_books_sccl_90/142-7825522-0098658?psc=1,j.k.,rowling,1,amazon.com,harry-potter-prisoner-azkaban-minalima,dp,1338815288,ref=zg_bs_g_books_sccl_90,142-7825522-0098658?psc=1
91,"moo, baa, la la la!",3.69,4.9,sandra boynton,1982,"childrens literature, picture book",amazon.com/moo-baa-sandra-boynton/dp/067144901x/ref=zg_bs_g_books_sccl_91/142-7825522-0098658?psc=1,sandra,boynton,4,amazon.com,moo-baa-sandra-boynton,dp,067144901x,ref=zg_bs_g_books_sccl_91,142-7825522-0098658?psc=1
92,the coworker,9.44,4.2,freida mcfadden,2023,"thriller, mystery",amazon.com/coworker-freida-mcfadden/dp/172829620x/ref=zg_bs_g_books_sccl_92/142-7825522-0098658?psc=1,freida,mcfadden,2,amazon.com,coworker-freida-mcfadden,dp,172829620x,ref=zg_bs_g_books_sccl_92,142-7825522-0098658?psc=1
93,rich dad poor dad: what the rich teach their kids about money that the poor and middle class do not!,6.31,4.7,robert kiyosaki,1997,personal finance,amazon.com/rich-dad-poor-teach-middle/dp/1612681131/ref=zg_bs_g_books_sccl_93/142-7825522-0098658?psc=1,robert,kiyosaki,2,amazon.com,rich-dad-poor-teach-middle,dp,1612681131,ref=zg_bs_g_books_sccl_93,142-7825522-0098658?psc=1
94,percy jackson and the olympians: the chalice of the gods (percy jackson & the olympians),15.63,4.7,rick riordan,2023,"fantasy, adventure, mythology",amazon.com/percy-jackson-olympians-chalice-gods/dp/1368098177/ref=zg_bs_g_books_sccl_94/142-7825522-0098658?psc=1,rick,riordan,3,amazon.com,percy-jackson-olympians-chalice-gods,dp,1368098177,ref=zg_bs_g_books_sccl_94,142-7825522-0098658?psc=1
95,paw patrol phonics: 12 books in 1,8.25,4.6,jennifer liberts,2015,childrens,amazon.com/patrol-phonics-step-into-reading/dp/0553508784/ref=zg_bs_g_books_sccl_95/142-7825522-0098658?psc=1,jennifer,liberts,1,amazon.com,patrol-phonics-step-into-reading,dp,0553508784,ref=zg_bs_g_books_sccl_95,142-7825522-0098658?psc=1
96,first little readers parent pack: guided reading level a: 25 irresistible books that are just the right level for beginning r,11.4,4.7,deborah schecter,2010,nonfiction,amazon.com/first-little-readers-parent-pack/dp/0545231493/ref=zg_bs_g_books_sccl_96/142-7825522-0098658?psc=1,deborah,schecter,1,amazon.com,first-little-readers-parent-pack,dp,0545231493,ref=zg_bs_g_books_sccl_96,142-7825522-0098658?psc=1
97,hatchet,5.14,4.7,gary paulsen,1987," young adult novel, adventure novel, survival story",amazon.com/hatchet-gary-paulsen/dp/1416936475/ref=zg_bs_g_books_sccl_97/142-7825522-0098658?psc=1,gary,paulsen,8,amazon.com,hatchet-gary-paulsen,dp,1416936475,ref=zg_bs_g_books_sccl_97,142-7825522-0098658?psc=1
98,"the wager: a tale of shipwreck, mutiny and murder",15.3,4.5,david grann,2023,nonfiction,amazon.com/wager-tale-shipwreck-mutiny-murder/dp/0385534264/ref=zg_bs_g_books_sccl_98/142-7825522-0098658?psc=1,david,grann,1,amazon.com,wager-tale-shipwreck-mutiny-murder,dp,0385534264,ref=zg_bs_g_books_sccl_98,142-7825522-0098658?psc=1
99,"i'm dead, now what?: important information about my belongings, business affairs, and wishes",12.99,4.6,peter pauper press,2015,nonfiction,amazon.com/important-information-belongings-business-affairs/dp/1441317996/ref=zg_bs_g_books_sccl_99/142-7825522-0098658?psc=1,peter,pauper press,1,amazon.com,important-information-belongings-business-affairs,dp,1441317996,ref=zg_bs_g_books_sccl_99,142-7825522-0098658?psc=1
100,the wonky donkey,5.28,4.8,craig smith,2009,"childrens, picture books",amazon.com/wonky-donkey-craig-smith/dp/0545261244/ref=zg_bs_g_books_sccl_100/142-7825522-0098658?psc=1,craig,smith,3,amazon.com,wonky-donkey-craig-smith,dp,0545261244,ref=zg_bs_g_books_sccl_100,142-7825522-0098658?psc=1
